Districts,Police_Stations,Population,Ratio
MEDCHAL,23,2440073,106090.1304
"WARANGAL (U)",18,1080858,60047.6667
"JAGTIAL ",19,985417,51864.0526
"KARIMNAGAR ",20,1005711,50285.5500
MAHABUBNAGAR,30,1486777,49559.2333
"RANGAREDDY ",50,2446265,48925.3000
"KHAMMAM ",29,1401639,48332.3793
"WARANGAL (R) ",15,718537,47902.4667
HYDERABAD,87,3943323,45325.5517
"SANGAREDDY ",34,1527628,44930.2353
"NIZAMABAD ",35,1571022,44886.3429
"JOGULAMBA ",14,609990,43570.7143
"RAJANNA ",13,552037,42464.3846
"KAMAREDDY ",23,972625,42288.0435
"PEDDAPALLI ",19,795332,41859.5789
MAHABUBABAD,19,774549,40765.7368
"SURYAPET ",27,1099560,40724.4444
"NALGONDA ",40,1618416,40460.4000
"VIKARABAD ",23,927140,40310.4348
"NAGARKURNOOL ",22,861766,39171.1818
"SIDDIPET ",26,1012065,38925.5769
"WANAPARTHY ",15,577758,38517.2000
"JANGAON ",15,566376,37758.4000
"MEDAK ",21,767428,36544.1905
"YADADRI ",21,739448,35211.8095
BHADRADRI,31,1069261,34492.2903
"NIRMAL ",21,709418,33781.8095
"MANCHERIAL ",24,807037,33626.5417
"JAYASHANKAR ",22,711434,32337.9091
ADILABAD,24,708972,29540.5000
"KOMARAM BHEEM ",19,515812,27148.0000
