district,ratio
Nirmal,6657898
"Jangaon ",413140
Adilabad,228799
Mancherial,86724
Nizamabad,23229
"Jayashankar Bhoopalpally",15681
"Nagarkurnool ",9756
Mahbubnagar,7529
"Jogulamba Gadwal ",7210
"Warangal (Urban)",3483
Mulugu,3165
"Warangal (Rural)",2677
Hyderabad,80
"Bhadradri Kothagudem ",NULL
"Jagtial ",NULL
"Kamareddy ",NULL
"Karimnagar ",NULL
Khammam,NULL
"Komaram Bheem Asifabad",NULL
"Mahabubabad ",NULL
"Medak ",NULL
Nalgonda,NULL
Peddapalli,NULL
"Rajanna Sircilla ",NULL
"Sangareddy ",NULL
Siddipet,NULL
Suryapet,NULL
"Wanaparthy ",NULL
"Yadadri Bhongir",NULL
