Districts,Police_Stations
HYDERABAD,87
"RANGAREDDY ",50
"NALGONDA ",40
"NIZAMABAD ",35
"SANGAREDDY ",34
BHADRADRI,31
MAHABUBNAGAR,30
"KHAMMAM ",29
"SURYAPET ",27
"SIDDIPET ",26
ADILABAD,24
"MANCHERIAL ",24
MEDCHAL,23
"KAMAREDDY ",23
"VIKARABAD ",23
"NAGARKURNOOL ",22
"JAYASHANKAR ",22
"MEDAK ",21
"NIRMAL ",21
"YADADRI ",21
"KARIMNAGAR ",20
"KOMARAM BHEEM ",19
MAHABUBABAD,19
"PEDDAPALLI ",19
"JAGTIAL ",19
"WARANGAL (U)",18
"JANGAON ",15
"WANAPARTHY ",15
"WARANGAL (R) ",15
"JOGULAMBA ",14
"RAJANNA ",13
